Date,Open,High,Low,Close,Adj Close,Volume,Day
2/14/2022,193.479996,203.559998,193.460007,195.25,195.25,4528100,0
2/15/2022,202.309998,209.309998,201.179993,208.949997,208.949997,3714300,1
2/16/2022,205.380005,214.020004,203.830002,207.960007,207.960007,3593600,2
2/17/2022,202.100006,206.309998,188.929993,191.919998,191.919998,4740600,3
2/18/2022,191.080002,192.720001,180.539993,189.160004,189.160004,4502200,4
2/22/2022,180.869995,185.75,173.160004,176.759995,176.759995,4472800,5
2/23/2022,180.690002,183.339996,171.770004,172.740005,172.740005,3892500,6
2/24/2022,159.080002,183,155.919998,179.559998,179.559998,8134000,7
2/25/2022,180.240005,182.089996,170.399994,176.830002,176.830002,6836800,8
2/28/2022,172.5,192.229996,172.089996,190.770004,190.770004,8036300,9
3/1/2022,196.279999,205.880005,189.630005,196.169998,196.169998,7779200,10
3/2/2022,192.259995,196.149994,189.509995,194.5,194.5,3414100,11
3/3/2022,194.710007,194.919998,177.149994,178.029999,178.029999,3734400,12
3/4/2022,177.610001,178.660004,162.160004,165.75,165.75,5848700,13
3/7/2022,168.25,172.979996,160.229996,161.139999,161.139999,4424000,14
3/8/2022,160.100006,168.350006,156.529999,161.990005,161.990005,3840800,15
3/9/2022,174.259995,181.449997,173.509995,178.970001,178.970001,4945200,16
3/10/2022,173.139999,174.490005,168.100006,172.970001,172.970001,2670600,17
3/11/2022,175.350006,175.75,160,160.070007,160.070007,3660500,18
3/14/2022,159.990005,161.699997,150.419998,153.190002,153.190002,4450000,19
3/15/2022,152.899994,156.419998,150.119995,155.979996,155.979996,4245400,20
3/16/2022,160.470001,173.070007,160,172.529999,172.529999,5974300,21
3/17/2022,170.729996,177.5,168,177.220001,177.220001,2975900,22
3/18/2022,175.029999,186.690002,175,185.940002,185.940002,4835700,23
3/21/2022,181.800003,183.589996,171.699997,176.809998,176.809998,4214000,24
3/22/2022,180.5,188.809998,178.5,186.080002,186.080002,4086100,25
3/23/2022,184.720001,189.550003,181.800003,183.110001,183.110001,2311900,26
3/24/2022,185.259995,192,179.5,190.190002,190.190002,3536500,27
3/25/2022,192,195.699997,182.800003,186.710007,186.710007,3598300,28
3/28/2022,193.309998,203.270004,193.009995,201.410004,201.410004,6624000,29
3/29/2022,198.949997,206.789993,194.050003,204.529999,204.529999,4811500,30
3/30/2022,201.289993,206.330002,194.759995,196.699997,196.699997,3775900,31
3/31/2022,197.25,198.080002,189.559998,189.860001,189.860001,2999200,32
4/1/2022,189.860001,191.869995,184.389999,186.960007,186.960007,2975900,33
4/4/2022,187.339996,193.070007,186.160004,191.649994,191.649994,2488800,34
4/5/2022,189.759995,191.330002,176.259995,177.169998,177.169998,5012800,35
4/6/2022,172.830002,174.330002,165.009995,166.839996,166.839996,4675300,36
4/7/2022,166.710007,169.419998,160.679993,166.190002,166.190002,3093600,37
4/8/2022,165.210007,166,160.130005,160.940002,160.940002,2951000,38
4/11/2022,156.570007,157.559998,151.729996,153.869995,153.869995,4305800,39
4/12/2022,158.070007,162.440002,149.410004,149.850006,149.850006,4654400,40
4/13/2022,149.029999,156.160004,147.800003,154.789993,154.789993,3740500,41
4/14/2022,153.539993,154,146.820007,147.289993,147.289993,4082200,42
4/18/2022,145.449997,149.5,140.529999,145.160004,145.160004,4668700,43
4/19/2022,146.020004,152.100006,144.449997,151.270004,151.270004,2916000,44
4/20/2022,154.929993,154.960007,144.850006,147.130005,147.130005,3486000,45
4/21/2022,151.970001,153.440002,135.309998,137.320007,137.320007,6252900,46
4/22/2022,137.289993,141.199997,131.25,131.520004,131.520004,5162200,47
4/25/2022,130.009995,137.350006,129.289993,135.139999,135.139999,4066500,48
4/26/2022,135.309998,136.770004,126.519997,127.150002,127.150002,3717600,49
4/27/2022,125.279999,130.710007,121.980003,122.550003,122.550003,4658500,50
4/28/2022,123.690002,126.389999,113.32,122.690002,122.690002,8070900,51
4/29/2022,121.099998,129.089996,112.139999,112.709999,112.709999,5760900,52
5/2/2022,113.07,122.290001,111.800003,121.339996,121.339996,6229400,53
5/3/2022,120.230003,129.399994,119.970001,123.559998,123.559998,5053200,54
5/4/2022,124,132.809998,116.199997,130.149994,130.149994,6492800,55
5/5/2022,125,125.639999,112.050003,114.25,114.25,7324400,56
5/6/2022,112.5,112.5,100.25,103.739998,103.739998,9026500,57
5/9/2022,96,96.43,81.779999,83.510002,83.510002,16845400,58
5/10/2022,87,89.379997,70.190002,72.989998,72.989998,31780000,59
5/11/2022,54.849998,61.279999,50.150002,53.720001,53.720001,67080200,60
5/12/2022,48.540001,60.299999,40.830002,58.5,58.5,58789000,61
5/13/2022,69.260002,74.25,65.5,67.870003,67.870003,38264800,62
5/16/2022,68.059998,68.080002,60.509998,61.700001,61.700001,18685900,63
5/17/2022,66.199997,70.5,63.110001,70,70,15868000,64
5/18/2022,67.690002,71.809998,61.939999,63.029999,63.029999,17422700,65
5/19/2022,65,70.989998,63.610001,67.419998,67.419998,15410100,66
5/20/2022,69.370003,70.739998,62.049999,66.150002,66.150002,15166300,67
5/23/2022,65.540001,68.650002,62.349998,66.099998,66.099998,12055700,68
5/24/2022,64.559998,64.559998,59.119999,61.360001,61.360001,10714900,69
5/25/2022,61.07,68.5,60.990002,67.169998,67.169998,11062000,70
5/26/2022,63.970001,71.169998,62.299999,69.870003,69.870003,12000200,71
5/27/2022,69.839996,77.18,69.839996,75.32,75.32,14112800,72
5/31/2022,80,83.32,75.599998,78.099998,78.099998,22623200,73
6/1/2022,77.5,77.800003,67.800003,68.629997,68.629997,14608500,74
6/2/2022,67.800003,74.480003,67.279999,73.82,73.82,8607200,75
6/3/2022,69.389999,70.5,65.610001,66.690002,66.690002,10213600,76
6/6/2022,70.760002,74.110001,68.43,70.669998,70.669998,9352400,77
6/7/2022,67.309998,69.970001,64.360001,69.57,69.57,8485100,78
6/8/2022,69.230003,72.980003,68.300003,69.199997,69.199997,6276600,79
6/9/2022,69.080002,69.379997,63.119999,63.759998,63.759998,9349300,80
6/10/2022,60,61.630001,57.77,58.709999,58.709999,10982600,81
6/13/2022,46.18,54.299999,46,52.009998,52.009998,28961400,82
6/14/2022,52.5,53.290001,48.810001,51.580002,51.580002,17430300,83
6/15/2022,50.939999,56.66,50.450001,55.009998,55.009998,16340100,84
6/16/2022,52.580002,54.43,50.080002,51.049999,51.049999,13157700,85
6/17/2022,50.119999,52.799999,49.279999,51.220001,51.220001,11771000,86
6/21/2022,54.200001,60.75,54.099998,57.490002,57.490002,16916200,87
6/22/2022,53.869999,56.75,51.57,51.91,51.91,18947700,88
6/23/2022,53.599998,59.619999,51.830002,58.880001,58.880001,15840700,89
6/24/2022,60,64.089996,59.330002,62.709999,62.709999,24381400,90
6/27/2022,59.560001,60.450001,55.02,55.959999,55.959999,15201600,91
6/28/2022,56.259998,57.25,50.330002,51.18,51.18,10253500,92
6/29/2022,50.5,51.459999,48.59,49.75,49.75,9776200,93
6/30/2022,48.200001,48.400002,44.150002,47.02,47.02,12934400,94
7/1/2022,47.990002,50.16,47.52,49.040001,49.040001,8556500,95
7/5/2022,48.130001,55.82,45.950001,55.41,55.41,13087900,96
7/6/2022,54.169998,56.27,51.400002,51.709999,51.709999,11881900,97
7/7/2022,52.139999,57.650002,52.139999,57.459999,57.459999,12318500,98
7/8/2022,55.610001,63.700001,54.509998,60.290001,60.290001,17950500,99
7/11/2022,57.540001,58.43,53.299999,53.880001,53.880001,10705800,100
7/12/2022,53.700001,56.110001,52.619999,54.240002,54.240002,8466200,101
7/13/2022,51.68,54.73,50.400002,53.099998,53.099998,9439900,102
7/14/2022,52.34,54.709999,50.34,53.419998,53.419998,9682100,103
7/15/2022,54.349998,56.549999,51.93,53.790001,53.790001,10714300,104
7/18/2022,56.709999,63.380001,56.689999,58.669998,58.669998,21226200,105
7/19/2022,60.860001,65.980003,57.779999,65.830002,65.830002,19210600,106
7/20/2022,67.080002,79,67.050003,75.269997,75.269997,34032000,107
7/21/2022,71,76.620003,70.279999,73.980003,73.980003,17301200,108
7/22/2022,76.199997,76.57,69.089996,70.82,70.82,12013300,109
7/25/2022,68.93,69.980003,66.300003,67.07,67.07,8797600,110
7/26/2022,61.689999,62.889999,52.630001,52.93,52.93,26875800,111
7/27/2022,54.869999,60.610001,53.119999,58.830002,58.830002,18230200,112
7/28/2022,58.240002,62.950001,55.59,62.25,62.25,13674800,113
7/29/2022,60.139999,64.230003,59.77,62.959999,62.959999,9113800,114
8/1/2022,61.189999,63.619999,59.419998,62.700001,62.700001,7361300,115
8/2/2022,60.91,69.589996,60.799999,67.230003,67.230003,12142100,116
8/3/2022,69.050003,82.25,67.610001,80.809998,80.809998,24784200,117
8/4/2022,106.099998,116.300003,86.790001,88.900002,88.900002,54342800,118
8/5/2022,86.580002,98.870003,86.519997,93.050003,93.050003,24865700,119
8/8/2022,97.839996,103.550003,93.809998,98.019997,98.019997,18878700,120
8/9/2022,93.889999,93.889999,85.599998,87.68,87.68,17411400,121
8/10/2022,89.980003,95,88,94.139999,94.139999,23818200,122
8/11/2022,97.25,98.699997,82.309998,84,84,23247300,123
8/12/2022,85.230003,92.480003,83.290001,90.489998,90.489998,13755200,124
8/15/2022,89.110001,93.68,88.589996,91.970001,91.970001,11001900,125
8/16/2022,90.550003,95.5,84.239998,90.389999,90.389999,17034400,126
8/17/2022,87.510002,88.639999,84.769997,85.440002,85.440002,10697900,127
8/18/2022,86.330002,86.360001,81.419998,83.470001,83.470001,7923300,128
8/19/2022,76,78.25,74.010002,74.059998,74.059998,13727900,129
8/22/2022,70.910004,74.940002,70.290001,71.470001,71.470001,9082400,130
8/23/2022,71.949997,76.410004,70.599998,71.18,71.18,9598300,131
8/24/2022,71.879997,74.32,70.709999,71.480003,71.480003,6675500,132
8/25/2022,71.839996,72.449997,68.519997,71.370003,71.370003,8563500,133
8/26/2022,71.709999,71.800003,65.339996,66.739998,66.739998,9797300,134
8/29/2022,65.510002,69.400002,65.459999,66.339996,66.339996,7944100,135
8/30/2022,67.970001,69.449997,64.629997,67.029999,67.029999,8293500,136
8/31/2022,68.699997,70.379997,66.660004,66.800003,66.800003,6707900,137
9/1/2022,65.550003,65.989998,61.91,65.529999,65.529999,8046600,138
9/2/2022,67.709999,68.139999,63.82,65.260002,65.260002,6392800,139
9/6/2022,65.559998,66.879997,62.599998,62.779999,62.779999,7478100,140
9/7/2022,62,68.769997,61.830002,68.25,68.25,8408400,141
9/8/2022,66.360001,73.330002,65.5,73.080002,73.080002,9241500,142
9/9/2022,78.199997,81.040001,75.150002,80.870003,80.870003,15357100,143
9/12/2022,82.599998,84.580002,80.599998,82.550003,82.550003,12554900,144
9/13/2022,75.339996,78.089996,74.349998,75.25,75.25,11235300,145
9/14/2022,75.300003,79.199997,74.110001,78.699997,78.699997,10840700,146
9/15/2022,77.629997,82,76.629997,77.230003,77.230003,10950100,147
9/16/2022,75.150002,76.370003,73.599998,74,74,17089000,148
9/19/2022,71.879997,72.540001,67,69.93,69.93,13135300,149
9/20/2022,68.089996,69.800003,66.169998,67.940002,67.940002,7974500,150
9/21/2022,68.900002,72.239998,67.43,67.639999,67.639999,12344600,151
9/22/2022,67.400002,68.980003,62.310001,62.939999,62.939999,11156900,152
9/23/2022,61.560001,63.150002,59.43,61.880001,61.880001,10932900,153
9/26/2022,62.98,66.330002,62.18,62.279999,62.279999,9562600,154
9/27/2022,65.290001,67.550003,61.880001,63.049999,63.049999,11860500,155
9/28/2022,62.799999,67.739998,62.759998,67.309998,67.309998,8482700,156
9/29/2022,64.620003,65.029999,60.259998,61.939999,61.939999,11492100,157
9/30/2022,61.25,67.589996,61.07,64.489998,64.489998,10210300,158
10/3/2022,64.949997,67.860001,61.919998,65.949997,65.949997,10949200,159
10/4/2022,69.089996,74.629997,69.080002,74.5,74.5,11881400,160
10/5/2022,71.800003,73.480003,69.279999,72.970001,72.970001,9222700,161
10/6/2022,73.07,76.279999,71.339996,73.910004,73.910004,11103700,162
10/7/2022,70.849998,71.099998,65.5,67,67,11427900,163
10/10/2022,67.580002,69.260002,65.43,67.040001,67.040001,7714000,164
10/11/2022,67.610001,72.690002,65.029999,70.160004,70.160004,17705600,165
10/12/2022,69.739998,71.849998,67.82,69.949997,69.949997,8998900,166
10/13/2022,63.66,69.629997,61.060001,69.260002,69.260002,18342000,167
10/14/2022,71.849998,73.790001,63.380001,63.59,63.59,13711600,168
10/17/2022,66.480003,70.949997,66.339996,69.169998,69.169998,11263300,169
10/18/2022,72.900002,73.900002,65.300003,66.209999,66.209999,13874700,170
10/19/2022,64.82,66.889999,62.549999,63.189999,63.189999,8601100,171
10/20/2022,63.139999,67.43,62.700001,63.59,63.59,8938700,172
10/21/2022,63.400002,66.629997,61.700001,66.379997,66.379997,9156400,173
10/24/2022,67.400002,68.150002,63.68,66.389999,66.389999,8111700,174
10/25/2022,67.010002,75.400002,66.959999,75.050003,75.050003,14446900,175
10/26/2022,75.279999,78.290001,73.099998,73.809998,73.809998,14102500,176
10/27/2022,74.510002,75.650002,71.510002,72.470001,72.470001,5967600,177
10/28/2022,72,73.720001,69.349998,72.07,72.07,7372100,178
10/31/2022,72.370003,74.650002,66.150002,66.25,66.25,10648400,179
11/1/2022,69,69.709999,63.130001,63.290001,63.290001,8238200,180
11/2/2022,63.400002,66.209999,60.549999,60.709999,60.709999,12700900,181
11/3/2022,59.400002,61.880001,55.75,55.799999,55.799999,14238800,182
11/4/2022,60.400002,63.43,56.400002,58.82,58.82,18901400,183
11/7/2022,60,60.990002,54.220001,56.970001,56.970001,13659100,184
11/8/2022,54.5,58.450001,47.689999,50.830002,50.830002,61868200,185
11/9/2022,47.09,49.689999,44.619999,45.98,45.98,42274200,186
11/10/2022,51.040001,53.93,49.02,50.919998,50.919998,30695400,187
11/11/2022,47.5,58.290001,46.25,57.459999,57.459999,30584500,188
11/14/2022,55.700001,55.740002,52.599998,53.220001,53.220001,16150900,189
11/15/2022,55,58,54.599998,55.529999,55.529999,14805300,190
11/16/2022,52.830002,54.029999,48,48.830002,48.830002,24054700,191
11/17/2022,46.669998,49.970001,45.18,48.790001,48.790001,17974700,192
11/18/2022,48.799999,49,44.310001,45.259998,45.259998,20287300,193
11/21/2022,43.599998,44.639999,40.610001,41.23,41.23,22382000,194
11/22/2022,42.349998,44.400002,41.610001,43.389999,43.389999,20783100,195
11/23/2022,43.849998,46.169998,42.209999,45.57,45.57,14665800,196
11/25/2022,44.759998,45.240002,43.700001,44.279999,44.279999,6451500,197
11/28/2022,43.299999,44.900002,42.02,42.509998,42.509998,10497900,198
11/29/2022,42.91,44.650002,42.700001,43.110001,43.110001,9090600,199
11/30/2022,43.709999,45.880001,41.509998,45.73,45.73,15562700,200
12/1/2022,45.82,47.189999,44.439999,45.27,45.27,11579400,201
12/2/2022,43.970001,47.700001,43.73,47.669998,47.669998,10372100,202
12/5/2022,47.98,49.849998,45.630001,46,46,11228300,203
12/6/2022,45.599998,46.650002,41.73,42.41,42.41,12156100,204
12/7/2022,41.880001,43.200001,40.549999,41.259998,41.259998,10824500,205
12/8/2022,41.560001,43.900002,40.299999,42.810001,42.810001,9361800,206
12/9/2022,41.599998,42.32,40.150002,40.240002,40.240002,10030200,207
12/12/2022,39.98,42.650002,39.650002,42.599998,42.599998,9962600,208
12/13/2022,46.009998,46.330002,38.5,38.689999,38.689999,20558300,209
12/14/2022,39.41,41.900002,38.82,40.189999,40.189999,16117600,210
12/15/2022,38.950001,39.599998,37.439999,37.98,37.98,12013400,211
12/16/2022,37.400002,38.009998,34.709999,36.599998,36.599998,18247400,212
12/19/2022,35.970001,36.68,34.509998,35.169998,35.169998,11168300,213
12/20/2022,34.75,36.860001,34.349998,34.970001,34.970001,9833200,214
12/21/2022,35.310001,36.099998,34.799999,35.150002,35.150002,6998600,215
12/22/2022,34.93,35.349998,32.950001,34.59,34.59,10335700,216
12/23/2022,34.77,35.98,33.669998,35.490002,35.490002,8222700,217
12/27/2022,34.5,34.560001,32.439999,32.650002,32.650002,10940800,218
12/28/2022,32.580002,33.48,31.83,32.529999,32.529999,7839700,219
12/29/2022,33.459999,35.330002,33.369999,34.779999,34.779999,7675500,220
12/30/2022,33.959999,35.869999,33.630001,35.389999,35.389999,8335400,221
1/3/2023,36.490002,36.93,33.369999,33.599998,33.599998,8514300,222
1/4/2023,34.59,38.5,34.540001,37.700001,37.700001,17737400,223
1/5/2023,34.709999,35.259998,32.75,33.529999,33.529999,16934500,224
1/6/2023,33.669998,33.75,31.549999,33.259998,33.259998,15503700,225
1/9/2023,35.189999,39.380001,34.720001,38.27,38.27,18904100,226
1/10/2023,37.759998,43.290001,37.740002,43.23,43.23,24496700,227
1/11/2023,41.959999,43.84,40.630001,43.790001,43.790001,16152700,228
1/12/2023,45.150002,47.650002,41.669998,47.549999,47.549999,20514700,229
1/13/2023,46.240002,50.630001,45.380001,49.98,49.98,22308100,230
1/17/2023,53.310001,54.98,50.700001,54.139999,54.139999,23521200,231
1/18/2023,54.220001,57.330002,50,50.209999,50.209999,24905700,232
1/19/2023,49.209999,51,47.919998,49.419998,49.419998,14073300,233
1/20/2023,50.380001,55.189999,48.799999,55.16,55.16,15343000,234
1/23/2023,55,56.689999,53.209999,55.959999,55.959999,17736400,235
1/24/2023,54.200001,56.470001,53.34,53.560001,53.560001,12413900,236
1/25/2023,51.5,53.41,49.599998,52.759998,52.759998,13343600,237
1/26/2023,56.060001,56.099998,51.970001,53.02,53.02,12614900,238
1/27/2023,52.939999,62.290001,52.41,61.369999,61.369999,24399300,239
1/30/2023,60.009998,61.860001,55.669998,56.16,56.16,14553900,240
1/31/2023,57.700001,60.439999,55.91,58.48,58.48,14751600,241
2/1/2023,59.080002,66.220001,56.650002,65.699997,65.699997,18840800,242
2/2/2023,68.459999,85.540001,68.309998,81.459999,81.459999,43911200,243
2/3/2023,73.720001,87.629997,73.019997,74.629997,74.629997,37082600,244
2/6/2023,73.18,75.980003,70.519997,74.589996,74.589996,17998400,245
2/7/2023,73.43,73.480003,67.300003,71.419998,71.419998,19819700,246
2/8/2023,70.830002,73.970001,68.300003,69.440002,69.440002,11626500,247
2/9/2023,68.489998,68.93,59,59.630001,59.630001,23920200,248
2/10/2023,58.259998,61.740002,55.970001,57.09,57.09,17342500,249
2/13/2023,55.52,57.084999,53.66,55.820999,55.820999,12115157,250
